Date,EURUSD,GBPUSD,JPYUSD,AUDUSD,CADUSD,CHFUSD,NZDUSD,BRLUSD,MXNUSD,ZARUSD,TRYUSD,CNYUSD,INRUSD,IDRUSD,KRWUSD,RUBUSD,SARUSD,LKRUSD
38261,1.2417,1.7984,9.0469999999999995E-3,0.72629999999999995,0.79290000000000005,0.80030000000000001,0.67479999999999996,0.35210000000000002,8.8230000000000003E-2,0.15453900000000001,0.66291,0.12082,2.1787000000000001E-2,0.109338,8.7040000000000006E-2,3.4229999999999997E-2,0.26669999999999999,0.96599999999999997
38268,1.2408999999999999,1.7949999999999999,9.1299999999999992E-3,0.7349,0.79900000000000004,0.79959999999999998,0.68530000000000002,0.35339999999999999,8.8929999999999995E-2,0.15277299999999999,0.66957,0.12082,2.1808999999999999E-2,0.10992,8.7120000000000003E-2,3.422E-2,0.26669999999999999,0.96399999999999997
38275,1.2468999999999999,1.8042,9.1459999999999996E-3,0.73119999999999996,0.79820000000000002,0.81059999999999999,0.68689999999999996,0.35010000000000002,8.7330000000000005E-2,0.155644,0.67181999999999997,0.12082,2.1815000000000001E-2,0.10992,8.7309999999999999E-2,3.4360000000000002E-2,0.26669999999999999,0.96199999999999997
38282,1.2683,1.8281000000000001,9.3229999999999997E-3,0.74029999999999996,0.8105,0.82589999999999997,0.69599999999999995,0.3483,8.6870000000000003E-2,0.162304,0.67454000000000003,0.12082,2.1887E-2,0.10992,8.7679999999999994E-2,3.4549999999999997E-2,0.2666,0.96199999999999997
38289,1.2798,1.8372999999999999,9.4520000000000003E-3,0.74839999999999995,0.82120000000000004,0.83709999999999996,0.68400000000000005,0.3498,8.6690000000000003E-2,0.16403699999999999,0.67659000000000002,0.12082,2.2002000000000001E-2,0.110041,8.9340000000000003E-2,3.4779999999999998E-2,0.2666,0.96
38296,1.2964,1.8552,9.4719999999999995E-3,0.76280000000000003,0.83499999999999996,0.84930000000000005,0.69450000000000001,0.35470000000000002,8.7760000000000005E-2,0.16414300000000001,0.68516999999999995,0.12082,2.2117000000000001E-2,0.11032699999999999,9.0029999999999999E-2,3.49E-2,0.2666,0.95599999999999996
38303,1.2974000000000001,1.8564000000000001,9.4719999999999995E-3,0.76939999999999997,0.83850000000000002,0.85329999999999995,0.69369999999999998,0.3584,8.8050000000000003E-2,0.163467,0.68376000000000003,0.12082,2.2124999999999999E-2,0.11086500000000001,9.0810000000000002E-2,3.4869999999999998E-2,0.26669999999999999,0.95599999999999996
38310,1.3023,1.8573999999999999,9.6989999999999993E-3,0.78380000000000005,0.83750000000000002,0.86099999999999999,0.7087,0.35909999999999997,8.7790000000000007E-2,0.166354,0.69469000000000003,0.12082,2.2168E-2,0.11118500000000001,9.357E-2,3.5060000000000001E-2,0.2666,0.95399999999999996
38317,1.3297000000000001,1.8940999999999999,9.7470000000000005E-3,0.79069999999999996,0.84930000000000005,0.87790000000000001,0.71599999999999997,0.3654,8.8859999999999995E-2,0.17152700000000001,0.70225000000000004,0.12082,2.2204000000000002E-2,0.11117299999999999,9.554E-2,3.5310000000000001E-2,0.26669999999999999,0.95199999999999996
38324,1.3453999999999999,1.9439,9.7940000000000006E-3,0.78169999999999995,0.83989999999999998,0.88429999999999997,0.72070000000000001,0.36919999999999997,9.0109999999999996E-2,0.17551700000000001,0.71123999999999998,0.12082,2.2648000000000001E-2,0.11036899999999999,9.5699999999999993E-2,3.5799999999999998E-2,0.2666,0.95499999999999996
